Job Title,Company,Location,Salary,Apply Link
Data Analyst (SQL Specialist),CityKart Retail Pvt Ltd,Gurgaon,₹50T - ₹55T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_68f73810&cb=1713296181024&jobListingId=1009219402641&jrtk=5-yul1-0-1hrk6i1fkir0t800-486aff0c68abb883
Data Scientist / Analyst,RapidBrains,Remote,"₹1,250.00 - ₹1,700.00 Per hour",https://www.glassdoor.co.in/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_71aa8866&cb=1713296181024&jobListingId=1009228256885&jrtk=5-yul1-0-1hrk6i1fkir0t800-130f61305f81bff4
Python Data Scientist/Analyst,Primacial HR Services,Remote,₹3L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_045b8d8f&cb=1713296181025&jobListingId=1009206477458&jrtk=5-yul1-0-1hrk6i1fkir0t800-2997ebbc403636ff
Jr. Data Analyst/Jr. Data Engineer,Next Thing Technologies,Remote,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_edc4d4a9&cb=1713296181025&jobListingId=1009230809551&jrtk=5-yul1-0-1hrk6i1fkir0t800-10943bc8d1c261cd
Data Analyst,"Episource, LLC.",Chennai,₹6L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_83aeac5f&cb=1713296181026&jobListingId=1009198728478&jrtk=5-yul1-0-1hrk6i1fkir0t800-3cb8621d8fc750e3
Data Analyst,Oracle,Bengaluru,₹6L - ₹8L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&cs=1_663cf9de&cb=1713296181023&jobListingId=1009238177579&jrtk=5-yul1-0-1hrk6i1fkir0t800-e9b4a7202df73853
Data Analyst annotation intern (India),Minna Technologies,Bengaluru,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&cs=1_65943974&cb=1713296181023&jobListingId=1009217722134&jrtk=5-yul1-0-1hrk6i1fkir0t800-916393151f3459da
Junior Data Analyst,iamneo.ai,Coimbatore,₹4L - ₹5L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&cs=1_2b819110&cb=1713296181023&jobListingId=1009237196905&jrtk=5-yul1-0-1hrk6i1fkir0t800-4bae76619ed58f51
Data Analyst,New Age Software and Solutions Pvt Ltd,India,₹18T - ₹36T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9061f417&cb=1713296181026&jobListingId=1009217637139&jrtk=5-yul1-0-1hrk6i1fkir0t800-d4490f2dd0248082
Data Analyst,BNB GROUPE,Ahmedabad,₹3L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a35a59ff&cb=1713296181025&jobListingId=1009223462357&jrtk=5-yul1-0-1hrk6i1fkir0t800-fc1b5ce66df9afd3
